artist,song,year,decade
Crow,Evil Woman Don't Play Your Games With Me,1970,1970s
Shocking Blue,Venus,1970,1970s
Jefferson,Baby Take Me in Your Arms,1970,1970s
Eddie Holman,Hey There Lonely Girl,1970,1970s
The Street People,Jennifer Tomkins,1970,1970s
Tee Set,Ma Belle Amie,1970,1970s
The Jaggerz,The Rapper,1970,1970s
Edison Lighthouse,Love Grows (Where My Rosemary Goes),1970,1970s
Frijid Pink,The House of the Rising Sun,1970,1970s
Norman Greenbaum,Spirit in the Sky,1970,1970s
Jack Blanchard & Misty Morgan,Tennessee Bird Walk,1970,1970s
Marmalade,Reflections of My Life,1970,1970s
The Ides of March,Vehicle,1970,1970s
White Plains,My Baby Loves Lovin',1970,1970s
Blues Image,Ride Captain Ride,1970,1970s
Mountain,Mississippi Queen,1970,1970s
Five Stairsteps,O-o-h Child,1970,1970s
The Pipkins,Gimme Dat Ding,1970,1970s
Miguel Ríos,A Song of Joy (Himno a la Alegria),1970,1970s
Crabby Appleton,Go Back,1970,1970s
Pacific Gas & Electric,Are You Ready?,1970,1970s
Alive N Kickin',"Tighter, Tighter",1970,1970s
Robin McNamara,Lay a Little Lovin' on Me,1970,1970s
The Assembled Multitude,Overture from Tommy (A Rock Opera),1970,1970s
Mungo Jerry,In the Summertime,1970,1970s
Hotlegs,Neanderthal Man,1970,1970s
Free,All Right Now,1970,1970s
Teegarden and Van Winkle,"God, Love and Rock & Roll",1970,1970s
R. Dean Taylor,Indiana Wants Me,1970,1970s
100 Proof (Aged in Soul),Somebody's Been Sleeping,1970,1970s
Bobby Bloom,Montego Bay,1970,1970s
Christie,Yellow River,1970,1970s
The Presidents,5-10-15-20 (25-30 Years of Love),1970,1970s
Redeye,Games,1971,1970s
Lynn Anderson,Rose Garden,1971,1970s
Jackie Moore,"Precious, Precious",1971,1970s
Liz Damon's Orient Express,1900 Yesterday,1971,1970s
Wadsworth Mansion,Sweet Mary,1971,1970s
Bloodrock,D.O.A.,1971,1970s
Sammi Smith,Help Me Make It Through the Night,1971,1970s
Brewer & Shipley,One Toke Over the Line,1971,1970s
The Bells,Stay Awhile,1971,1970s
The Buoys,Timothy,1971,1970s
Ocean,Put Your Hand in The Hand,1971,1970s
Daddy Dewdrop,Chick-A-Boom (Don't Ya Jes' Love It),1971,1970s
Richie Havens,Here Comes The Sun,1971,1970s
The Fuzz,I Love You for All Seasons,1971,1970s
Matthews Southern Comfort,Woodstock,1971,1970s
Tin Tin,Toast and Marmalade for Tea,1971,1970s
Paul Humphrey & the Cool-Aid Chemists,Cool Aid,1971,1970s
The Beginning of The End,Funky Nassau,1971,1970s
Chase,Get It On,1971,1970s
Sounds of Sunshine,Love Means (You Never Have to Say You're Sorry),1971,1970s
Cymarron,Rings,1971,1970s
Dave and Ansell Collins,Double Barrel,1971,1970s
Jean Knight,Mr. Big Stuff,1971,1970s
Tom Clay,"What The World Needs Now Is Love/Abraham, Martin and John",1971,1970s
Five Man Electrical Band,Signs,1971,1970s
The Undisputed Truth,Smiling Faces Sometimes,1971,1970s
The Glass Bottle,I Ain't Got Time Anymore,1971,1970s
Mac & Katie Kissoon,Chirpy Chirpy Cheep Cheep,1971,1970s
Lee Michaels,Do You Know What I Mean?,1971,1970s
The Stampeders,Sweet City Woman,1971,1970s
Denise LaSalle,Trapped By a Thing Called Love,1971,1970s
The Free Movement,I've Found Someone of My Own,1971,1970s
Freddie Hart,Easy Loving,1971,1970s
Ten Years After,I'd Love to Change the World,1971,1970s
Coven,One Tin Soldier (The Legend of Billy Jack),1971,1970s
Freddie North,She's All I Got,1971,1970s
Les Crane,Desiderata,1971,1970s
Sweathog,Hallelujah,1971,1970s
Jonathan Edwards,Sunshine,1972,1970s
The Hillside Singers,I'd Like to Teach The World to Sing (In Perfect Harmony),1972,1970s
Think,Once You Understand,1972,1970s
Bullet,"White Lies, Blue Eyes",1972,1970s
Climax,Precious and Few,1972,1970s
Apollo 100,Joy,1972,1970s
T. Rex,Bang A Gong (Get It On),1972,1970s
The English Congregation,Softly Whispering I Love You,1972,1970s
The Chakachas,Jungle Fever,1972,1970s
J.J. Cale,Crazy Mama,1972,1970s
Malo,Suavecito,1972,1970s
Jo Jo Gunne,Run Run Run,1972,1970s
Commander Cody and His Lost Planet Airmen,Hot Rod Lincoln,1972,1970s
Royal Scots Dragoon Guards,Amazing Grace,1972,1970s
Frederick Knight,I've Been Lonely for So Long,1972,1970s
Gary Glitter,Rock and Roll (Part 2),1972,1970s
Mouth and MacNeal,How Do You Do?,1972,1970s
Godspell,Day by Day,1972,1970s
Derek & The Dominos,Layla,1972,1970s
Joey Heatherton,Gone,1972,1970s
Argent,Hold Your Head Up,1972,1970s
Sailcat,Motorcycle Mama,1972,1970s
Flash,Small Beginnings,1972,1970s
Looking Glass,Brandy (You're a Fine Girl),1972,1970s
Daniel Boone,Beautiful Sunday,1972,1970s
Uriah Heep,Easy Livin,1972,1970s
Hot Butter,Popcorn,1972,1970s
Arlo Guthrie,City of New Orleans,1972,1970s
"Emerson, Lake & Palmer",From the Beginning,1972,1970s
Danny O'Keefe,Good Time Charlie's Got the Blues,1972,1970s
Mott The Hoople,All The Young Dudes,1972,1970s
The Delegates,Convention '72,1972,1970s
Chi Coltrane,Thunder and Lightning,1972,1970s
Cashman and West,American City Suite,1972,1970s
Billy Paul,Me and Mrs. Jones,1972,1970s
Blue Haze,Smoke Gets in Your Eyes,1973,1970s
Edward Bear,Last Song,1973,1970s
Brighter Side of Darkness,Love Jones,1973,1970s
Timmy Thomas,Why Can't We Live Together,1973,1970s
Hurricane Smith,"Oh, Babe, What Would You Say?",1973,1970s
Eric Weissberg and Steve Mandell,Dueling Banjos,1973,1970s
King Harvest,Dancing in the Moonlight,1973,1970s
Deodato,Also Sprach Zarathustra (2001),1973,1970s
Loudon Wainwright III,Dead Skunk,1973,1970s
Vicki Lawrence,The Night the Lights Went Out in Georgia,1973,1970s
Stealers Wheel,Stuck in the Middle with You,1973,1970s
Jud Strunk,Daisy a Day,1973,1970s
John and Ernest,Super Fly Meets Shaft,1973,1970s
Skylark,Wildflower,1973,1970s
Focus,Hocus Pocus,1973,1970s
The Independents,Leaving Me,1973,1970s
Barbara Fairchild,The Teddy Bear Song,1973,1970s
Gunhill Road,Back When My Hair Was Short,1973,1970s
Clint Holmes,Playground in My Mind,1973,1970s
New York City,I'm Doin' Fine Now,1973,1970s
Dr. John,"Right Place, Wrong Time",1973,1970s
Fred Wesley & the JB's,Doing It to Death,1973,1970s
Foster Sylvers,Misdemeanor,1973,1970s
Manu Dibango,Soul Makossa,1973,1970s
Stories,Brother Louie,1973,1970s
Sylvia,Pillow Talk,1973,1970s
B. W. Stevenson,My Maria,1973,1970s
Cross Country,In the Midnight Hour,1973,1970s
Ian Thomas,Painted Ladies,1974,1970s
Brownsville Station,Smokin' in the Boys Room,1974,1970s
Byron MacGregor,Americans,1974,1970s
Black Oak Arkansas,Jim Dandy,1974,1970s
Terry Jacks,Seasons in the Sun,1974,1970s
Tom T. Hall,I Love,1974,1970s
Wednesday,Last Kiss,1974,1970s
David Essex,Rock On,1974,1970s
Mocedades,Eres Tú (Touch the Wind),1974,1970s
Cliff DeYoung,My Sweet Lady,1974,1970s
Rick Derringer,"Rock and Roll, Hoochie Koo",1974,1970s
Blue Swede,Hooked on a Feeling,1974,1970s
Redbone,Come and Get Your Love,1974,1970s
Sister Janet Mead,The Lord's Prayer,1974,1970s
MFSB,TSOP (The Sound of Philadelphia),1974,1970s
Sami Jo,Tell Me a Lie,1974,1970s
Mike Oldfield,Tubular Bells,1974,1970s
Marvin Hamlisch,The Entertainer,1974,1970s
Maria Muldaur,Midnight at the Oasis,1974,1970s
William DeVaughn,Be Thankful For What You Got,1974,1970s
Dave Loggins,Please Come to Boston,1974,1970s
Paper Lace,The Night Chicago Died,1974,1970s
The Rubettes,Sugar Baby Love,1974,1970s
The First Class,Beach Baby,1974,1970s
Johnny Bristol,Hang on in There Baby,1974,1970s
George McCrae,Rock Your Baby,1974,1970s
Furay Band,Fallin' in Love,1974,1970s
Reunion,Life Is a Rock (But the Radio Rolled Me),1974,1970s
Billy Swan,I Can Help,1974,1970s
Jim Weatherly,The Need to Be,1974,1970s
Prelude,After the Gold Rush,1974,1970s
Carl Douglas,Kung Fu Fighting,1974,1970s
Shirley Brown,Woman to Woman,1974,1970s
Harry Chapin,Cat's in the Cradle,1974,1970s
Carol Douglas,Doctor's Orders,1975,1970s
Polly Brown,Up in a Puff of Smoke,1975,1970s
Sweet Sensation,Sad Sweet Dreamer,1975,1970s
Shirley & Company,"Shame, Shame, Shame",1975,1970s
Minnie Riperton,Loving You,1975,1970s
Phoebe Snow,Poetry Man,1975,1970s
Benny Bell,Shaving Cream,1975,1970s
Sammy Johns,Chevy Van,1975,1970s
Kraftwerk,Autobahn,1975,1970s
The Ozark Mountain Daredevils,Jackie Blue,1975,1970s
Ace,How Long,1975,1970s
Jessi Colter,I'm Not Lisa,1975,1970s
Major Harris,Love Won't Let Me Wait,1975,1970s
Pilot,Magic,1975,1970s
Van McCoy,The Hustle,1975,1970s
Gwen McCrae,Rockin' Chair,1975,1970s
Bazuka,Dynomite,1975,1970s
The Amazing Rhythm Aces,Third Rate Romance,1975,1970s
Johnny Wakelin & Kinshasa Band,Black Superman (Muhammad Ali),1975,1970s
Morris Albert,Feelings,1975,1970s
Pete Wingfield,Eighteen with a Bullet,1975,1970s
Jigsaw,Sky High,1975,1970s
Head East,Never Been Any Reason,1975,1970s
Leon Haywood,I Want'a Do Something Freaky to You,1975,1970s
5000 Volts,I'm on Fire,1975,1970s
Dwight Twilley Band,I'm on Fire,1975,1970s
C. W. McCall,Convoy,1976,1970s
The Road Apples,Let's Live Together,1976,1970s
Nazareth,Love Hurts,1976,1970s
Cate Brothers,Union Man,1976,1970s
Cledus Maggard & the Citizen's Band,The White Knight,1976,1970s
Larry Groce,Junk Food Junkie,1976,1970s
Roxy Music,Love is the Drug,1976,1970s
John Sebastian,Welcome Back,1976,1970s
Elvin Bishop,Fooled Around and Fell in Love,1976,1970s
Pratt & McClain,Happy Days,1976,1970s
Henry Gross,Shannon,1976,1970s
Brass Construction,Movin',1976,1970s
Cyndi Grecco,Making Our Dreams Come True,1976,1970s
Starland Vocal Band,Afternoon Delight,1976,1970s
Andrea True Connection,"More, More, More",1976,1970s
Thin Lizzy,The Boys Are Back In Town,1976,1970s
Starbuck,Moonlight Feels Right,1976,1970s
Keith Carradine,I'm Easy,1976,1970s
Vicki Sue Robinson,Turn the Beat Around,1976,1970s
Wild Cherry,Play That Funky Music,1976,1970s
Lady Flash,Street Singin',1976,1970s
Silver,Wham Bam,1976,1970s
Walter Murphy & The Big Apple Band,A Fifth of Beethoven,1976,1970s
Rick Dees and His Cast of Idiots,Disco Duck,1976,1970s
Norman Connors,You Are My Starship,1976,1970s
John Valenti,Anything You Want,1976,1970s
David Dundas,Jeans On,1977,1970s
Mary MacGregor,Torn Between Two Lovers,1977,1970s
Smokie,Living Next Door to Alice,1977,1970s
Silvetti,Spring Rain,1977,1970s
Cerrone,Love in C Minor,1977,1970s
David Soul,Don't Give Up on Us,1977,1970s
Thelma Houston,Don't Leave Me This Way,1977,1970s
William Bell,Tryin' to Love Two,1977,1970s
Stallion,Old Fashioned Boy (You're the One),1977,1970s
Starz,Cherry Baby,1977,1970s
Dean Friedman,Ariel,1977,1970s
Alan O'Day,Undercover Angel,1977,1970s
Hot,Angel in Your Arms,1977,1970s
Meri Wilson,Telephone Man,1977,1970s
Slave,Slide,1977,1970s
Ram Jam,Black Betty,1977,1970s
The Floaters,Float On,1977,1970s
Sanford-Townsend Band,Smoke from a Distant Fire,1977,1970s
Meco,Star Wars Theme/Cantina Band,1977,1970s
Debby Boone,You Light Up My Life,1977,1970s
Ronnie McDowell,The King Is Gone,1977,1970s
Dave Mason,We Just Disagree,1977,1970s
Paul Nicholas,Heaven on the 7th Floor,1977,1970s
High Inergy,You Can't Turn Me Off (In the Middle of Turning Me On),1977,1970s
Randy Newman,Short People,1978,1970s
Santa Esmeralda,Don't Let Me Be Misunderstood,1978,1970s
Odyssey,Native New Yorker,1978,1970s
Samantha Sang,Emotion,1978,1970s
LeBlanc and Carr,Falling,1978,1970s
Stargard,Theme Song from 'Which Way Is Up',1978,1970s
Rubicon,I'm Gonna Take Care of Everything,1978,1970s
Warren Zevon,Werewolves of London,1978,1970s
Michael Zager Band,Let's All Chant,1978,1970s
Patti Smith Group,Because The Night,1978,1970s
Celebration ft. Mike Love,Almost Summer,1978,1970s
Eruption,I Can't Stand The Rain,1978,1970s
Toby Beau,My Angel Baby,1978,1970s
Steve Martin & The Toot Uncommons,King Tut,1978,1970s
Walter Egan,Magnet and Steel,1978,1970s
Chris Rea,Fool (If You Think It's Over),1978,1970s
Exile,Kiss You All Over,1978,1970s
John Paul Young,Love Is in the Air,1978,1970s
City Boy,5.7.0.5.,1978,1970s
Nick Gilder,Hot Child in the City,1978,1970s
Stonebolt,I Will Still Love You,1978,1970s
Lindisfarne,Run for Home,1978,1970s
Alicia Bridges,I Love the Nightlife,1978,1970s
Ace Frehley,New York Groove,1979,1970s
Chanson,Don't Hold Back,1979,1970s
Cheryl Lynn,Got to Be Real,1979,1970s
Iain Matthews,Shake It,1979,1970s
Nicolette Larson,Lotta Love,1979,1970s
Gloria Gaynor,I Will Survive,1979,1970s
Bobby Caldwell,What You Won't Do For Love,1979,1970s
Giorgio Moroder,Chase,1979,1970s
Amii Stewart,Knock on Wood,1979,1970s
Bell & James,Livin' It Up (Friday Night),1979,1970s
Rickie Lee Jones,Chuck E's in Love,1979,1970s
Frank Mills,Music Box Dancer,1979,1970s
Ironhorse,Sweet Lui-Louise,1979,1970s
Suzi Quatro & Chris Norman,Stumblin' In,1979,1970s
Tycoon,Such a Woman,1979,1970s
Randy VanWarmer,Just When I Needed You Most,1979,1970s
Roger Voudouris,Get Used to It,1979,1970s
New England,Don't Ever Wanna Lose Ya,1979,1970s
Rex Smith,You Take My Breath Away,1979,1970s
Anita Ward,Ring My Bell,1979,1970s
David Naughton,Makin' It,1979,1970s
McFadden & Whitehead,Ain't No Stoppin' Us Now,1979,1970s
Pink Lady,Kiss in the Dark,1979,1970s
The Jones Girls,You Gonna Make Me Love Somebody Else,1979,1970s
Spyro Gyra,Morning Dance,1979,1970s
Bram Tchaikovsky,Girl of My Dreams,1979,1970s
Herman Brood,Saturday Night,1979,1970s
The Knack,My Sharona,1979,1970s
Nick Lowe,Cruel to Be Kind,1979,1970s
Sniff 'n' the Tears,Driver's Seat,1979,1970s
Patrick Hernandez,Born to Be Alive,1979,1970s
Moon Martin,Rolene,1979,1970s
Ian Gomm,Hold On,1979,1970s
The Crusaders,Street Life,1979,1970s
France Joli,Come To Me,1979,1970s
Lauren Wood,Please Don't Leave,1979,1970s
Niteflyte,If You Want It,1979,1970s
JD Souther,You're Only Lonely,1979,1970s
The Buggles,Video Killed the Radio Star,1979,1970s
Tom Johnston,Savannah Nights,1980,1980s
Sugarhill Gang,Rapper's Delight,1980,1980s
Steve Forbert,Romeo's Tune,1980,1980s
The Boomtown Rats,I Don't Like Mondays,1980,1980s
Utopia,Set Me Free,1980,1980s
Felix Cavaliere,Only a Lonely Heart Sees,1980,1980s
Charlie Dore,Pilot of the Airwaves,1980,1980s
Lipps Inc.,Funkytown,1980,1980s
Bernadette Peters,Gee Whiz,1980,1980s
Gary Numan,Cars,1980,1980s
Bruce Cockburn,Wondering Where the Lions Are,1980,1980s
Spider,New Romance (It's a Mystery),1980,1980s
Rodney Crowell,Ashes by Now,1980,1980s
Robbie Dupree,Steal Away,1980,1980s
Rick Pinette and Oak,King of the Hill,1980,1980s
Change,A Lover's Holiday,1980,1980s
Rocky Burnette,Tired of Toein' the Line,1980,1980s
S.O.S. Band,Take Your Time (Do It Right),1980,1980s
Fred Knoblock,Why Not Me,1980,1980s
Ali Thomson,Take a Little Rhythm,1980,1980s
Benny Mardones,Into the Night,1980,1980s
Johnny Lee,Lookin' for Love,1980,1980s
Larry Graham,One in a Million You,1980,1980s
Amy Holland,How Do I Survive,1980,1980s
Larsen-Feiten Band,Who'll Be the Fool Tonight,1980,1980s
Devo,Whip It,1980,1980s
Jimmy Hall,I'm Happy That Love Has Found You,1980,1980s
Nielsen/Pearson,If You Should Sail,1980,1980s
Roger Daltrey,Without Your Love,1980,1980s
The Vapors,Turning Japanese,1980,1980s
Don Williams,I Believe in You,1980,1980s
The Korgis,Everybody's Got to Learn Sometime,1980,1980s
Delbert McClinton,Giving It Up for Your Love,1981,1980s
Tierra,Together,1981,1980s
Lakeside,Fantastic Voyage,1981,1980s
Donnie Iris,Ah! Leah!,1981,1980s
Phil Seymour,Precious to Me,1981,1980s
Yarbrough & Peoples,Don't Stop The Music,1981,1980s
Terri Gibbs,Somebody's Knockin',1981,1980s
Grover Washington Jr.,Just the Two of Us,1981,1980s
Stars on 45,Medley,1981,1980s
John O'Banion,Love You Like I Never Loved Before,1981,1980s
Get Wet,Just So Lonely,1981,1980s
Franke and the Knockouts,Sweetheart,1981,1980s
Jesse Winchester,Say What,1981,1980s
Lee Ritenour,Is It You,1981,1980s
Carole Bayer Sager,Stronger Than Before,1981,1980s
Roseanne Cash,Seven Year Ache,1981,1980s
Stanley Clarke & George Duke,Sweet Baby,1981,1980s
Joey Scarbury,Theme from The Greatest American Hero (Believe It or Not),1981,1980s
John Schneider,It's Now or Never,1981,1980s
Frankie Smith,Double Dutch Bus,1981,1980s
Jim Steinman,Rock and Roll Dreams Come Through,1981,1980s
Robbie Patton,Don't Give It Up,1981,1980s
Red Rider,Lunatic Fringe,1981,1980s
Point Blank,Nicole,1981,1980s
Silver Condor,You Could Take My Heart Away,1981,1980s
Balance,Breaking Away,1981,1980s
The Afternoon Delights,General Hospi-Tale,1981,1980s
Diesel,Sausalito Summernight,1981,1980s
Chris Christian,"I Want You, I Need You",1981,1980s
Chilliwack,"My Girl (Gone, Gone, Gone)",1981,1980s
Steve Carlisle,WKRP in Cincinnati,1981,1980s
The Plimsouls,A Million Miles Away,1982,1980s
Tommy Tutone,867-5309/Jenny,1982,1980s
Sneaker,More Than Just the Two of Us,1982,1980s
Eddie Schwartz,All Our Tomorrows,1982,1980s
Skyy,Call Me,1982,1980s
Prism,Don't Let Him Know,1982,1980s
Buckner and Garcia,Pac-Man Fever,1982,1980s
Bob and Doug McKenzie,Take Off,1982,1980s
Dr. Jeckyll & Mr. Hyde,Genius Rap,1982,1980s
Josie Cotton,Johnny Are You Queer?,1982,1980s
Bertie Higgins,Key Largo,1982,1980s
LeRoux,Nobody Said It Was Easy,1982,1980s
Junior,Mama Used to Say,1982,1980s
Tom Tom Club,Genius of Love,1982,1980s
Greg Guidry,Goin' Down,1982,1980s
Vangelis,Chariots of Fire,1982,1980s
Charlene,I've Never Been to Me,1982,1980s
Bow Wow Wow,I Want Candy,1982,1980s
Aldo Nova,Fantasy,1982,1980s
Chéri,Murphy's Law,1982,1980s
Rainbow,Stone Cold,1982,1980s
Patrice Rushen,Forget Me Nots,1982,1980s
Dazz Band,Let It Whip,1982,1980s
The Monroes,What Do All The People Know,1982,1980s
Soft Cell,Tainted Love,1982,1980s
